,Company Name,Salary_USD,Rating
0,"(X,Y,Z) Architecture & Design",12043,4.0
1,(no)name,10473,4.0
2,-,6021,3.95
3,....,145,4.0
4,.Kreate,3492,4.5
5,1 Crore Projects,1734,4.7
6,10,8238,4.0
7,100Plus (India),1445,3.6
8,10Decoders Consultancy Services,1734,4.3
9,11Signals Technologies,1156,4.0
10,17544,22882,3.9
11,1985,3757,3.3
12,1Digitals,1301,3.5
13,1Gen,5347,4.8
14,1K Kirana Bazaar,5901,4.2
15,1Tab,14452,2.6
16,1mg,9327,3.9
17,1st Risk Solutions,5492,4.0
18,2018,8527,3.8
19,20K Group,3179,4.8
20,21North Europ Assistance,4817,4.2
21,21st Century Software Solutions,2457,3.7
22,22feet,10658,3.7
23,24 Seven Talent,13729,3.9
24,24x7 Internet Technologies,1734,3.6
25,25K DIGITAL,4191,4.5
26,2COMS,9835,3.7999999999999994
27,2nd Year,4191,4.5
28,3 Marketing Pillars,2601,3.1
29,300 Plus Consultant,3613,4.4
30,3000 Corp.,3613,4.4
31,314e,3902,4.3
32,360 Degree Info-Dynamics,8430,4.0
33,360 Nautica,3902,4.3
34,360degreeinfo,2890,5.0
35,3ACES Technologies,13248,4.0
36,3AG Network Solutions,4817,3.9
37,3D Systems,24086,3.4
38,3Edge,4480,4.3
39,3Embed Software Technologies,4568,3.7999999999999994
40,3K Technologies,3902,4.5
41,3PS Media India,2409,3.5
42,3Pillar Global,1734,4.2
43,3RI Technologies,1590,4.5
44,3dplm Software Solution,7394,3.9
45,3frames,1445,4.0
46,3i Infotech,6318,3.5
47,4 Way Technologies,3613,4.6
48,42Gears Mobility Systems,6624,3.9
49,42hertz,2409,4.2
50,4Bell Technology,7226,4.7
51,4CRisk.ai,7226,5.0
52,4Life Research,4817,3.4
53,4baseCare,7226,4.7
54,4lio,6022,5.0
55,4spl Technologies India,1734,5.0
56,4th Dymension Teknocrats,2601,3.6
57,"50,000feet",10116,4.2
58,5ine Web Solutions,867,4.4
59,63 moons technologies,10839,3.9
60,660000,8430,4.05
61,6degrees,7226,4.1
62,6ixWebSoft Technology,2312,4.2
63,6sense,15054,4.8
64,7 Classes,4191,3.5
65,700,8382,3.9
66,75F,6623,4.3
67,7Eleven Arthasastra Technology,2360,4.3
68,7HCL Technologies,7226,3.8
69,7Tech,3613,4.1
70,83incs,7081,3.2
71,8om Internet,6022,3.9
72,91social,3613,4.7
73,91springboard,15343,3.5
74,98Fit,5058,2.8
75,99AppDev,6022,5.0
76,99acre com,15656,3.6
77,9Bits,4817,4.0
78,9Logic Technologies Inc,11995,4.2
79,9stacks,8430,4.2
80,9th Node Networks,3613,3.9
81,@1800,3902,4.5
