,Rating,Company Name,Job Title,Salary,Salaries Reported,Location,Employment Status,Job Roles,Salary_USD
0,3.8,Sasken,Android Developer,400000,3,Bangalore,Full Time,Android,4817
1,4.5,Advanced Millennium Technologies,Android Developer,400000,3,Bangalore,Full Time,Android,4817
2,4.0,Unacademy,Android Developer,1000000,3,Bangalore,Full Time,Android,12043
3,3.8,SnapBizz Cloudtech,Android Developer,300000,3,Bangalore,Full Time,Android,3613
4,4.4,Appoids Tech Solutions,Android Developer,600000,3,Bangalore,Full Time,Android,7226
5,4.2,Freelancer,Android Developer,100000,3,Bangalore,Full Time,Android,1204
6,3.7,SQUARE N CUBE,Android Developer,192000,3,Bangalore,Full Time,Android,2312
7,3.1,Samsung R&D Institute India - Bangalore,Android Developer,400000,3,Bangalore,Full Time,Android,4817
8,3.7,DXMinds Technologies,Android Developer,300000,3,Bangalore,Full Time,Android,3613
9,3.6,Endeavour Software Technologies,Android Developer,600000,3,Bangalore,Full Time,Android,7226
10,3.6,Craft Silicon,Android Developer,300000,3,Bangalore,Full Time,Android,3613
11,3.9,Baronford & Associates,Android Developer,240000,2,Bangalore,Full Time,Android,2890
12,3.7,Wibmo,Android Developer,900000,2,Bangalore,Full Time,Android,10839
13,4.8,Retail Pulse,Android Developer - Intern,24000,2,Bangalore,Intern,Android,289
14,3.9,Bookmyshow,Android Developer,600000,2,Bangalore,Full Time,Android,7226
15,3.9,Knowledge Flex,Android Developer,228000,2,Bangalore,Full Time,Android,2746
16,3.6,Novopay Solutions,Android Developer,600000,2,Bangalore,Full Time,Android,7226
17,3.7,WealthEngine,Android Developer,360000,2,Bangalore,Full Time,Android,4336
18,4.0,J.P. Morgan,Android Developer,1000000,2,Bangalore,Full Time,Android,12043
19,3.6,Acviss,Android Developer,500000,2,Bangalore,Full Time,Android,6022
20,4.1,Fresher,Android Developer,408000,2,Bangalore,Full Time,Android,4914
21,4.2,MedOnGo,Android Developer,300000,2,Bangalore,Full Time,Android,3613
22,4.0,Nuclei,Android Developer,800000,2,Bangalore,Full Time,Android,9635
23,4.4,eSecForte Technologies,Android Developer,228000,2,Bangalore,Full Time,Android,2746
24,4.3,Moveinsync Technology Solutions,Android Developer,100000,2,Bangalore,Full Time,Android,1204
25,3.6,Tech Mahindra,Android Developer,500000,2,Bangalore,Full Time,Android,6022
26,4.0,ThiDiff Technologies,Android Developer,200000,2,Bangalore,Full Time,Android,2409
27,4.9,Retranz Infolabs,Android Developer,500000,2,Bangalore,Full Time,Android,6022
28,4.0,FicusLot,Android Developer,228000,2,Bangalore,Full Time,Android,2746
29,3.7,KrazyBee,Android Developer,708000,2,Bangalore,Full Time,Android,8527
30,5.0,powerplay app,Android Developer - Intern,396000,2,Bangalore,Intern,Android,4769
31,4.2,Dcoder,Android Developer,700000,2,Bangalore,Full Time,Android,8430
32,4.6,Masai School,Android Developer,500000,2,Bangalore,Full Time,Android,6022
33,3.9,Integra Micro Software Services (P),Android Developer,500000,2,Bangalore,Full Time,Android,6022
34,3.3,DocsApp,Android Developer,900000,2,Bangalore,Full Time,Android,10839
35,5.0,Vispara Technosoft,Android Developer,200000,2,Bangalore,Full Time,Android,2409
36,4.3,Vmoksha Technologies,Android Developer,228000,2,Bangalore,Full Time,Android,2746
37,2.9,Artoo,Android Developer,400000,2,Bangalore,Full Time,Android,4817
38,3.8,Edelweiss Financial Services,Android Developer,600000,2,Bangalore,Full Time,Android,7226
39,4.0,Hubbler,Android Developer,400000,2,Bangalore,Full Time,Android,4817
40,3.5,L&T Technology Services,Android Developer,500000,2,Bangalore,Full Time,Android,6022
41,3.0,Rossitek Mobile Apps Development,Android Developer,216000,2,Bangalore,Full Time,Android,2601
42,1.0,Pricyfy,Android Developer,216000,2,Bangalore,Full Time,Android,2601
43,2.9,MYNEWCAR,Android Developer,300000,2,Bangalore,Full Time,Android,3613
44,4.1,IBM,Android Developer,540000,2,Bangalore,Full Time,Android,6503
45,3.7,Panel Coder Software Technologies,Android Developer,400000,2,Bangalore,Full Time,Android,4817
46,3.9,Knitter,Android Developer,500000,2,Bangalore,Full Time,Android,6022
47,3.8,3Embed Software Technologies,Android Developer,400000,2,Bangalore,Full Time,Android,4817
48,3.4,Web Digital Mantra,Android Developer,100000,2,Bangalore,Full Time,Android,1204
49,4.5,FitnyTech,Android Developer,252000,2,Bangalore,Full Time,Android,3035
50,4.8,CRK Gida Technologies,Android Developer,700000,2,Bangalore,Full Time,Android,8430
51,3.7,FuGenX Technologies,Android Developer,100000,2,Bangalore,Full Time,Android,1204
52,4.6,Outthinking,Android Developer,200000,2,Bangalore,Full Time,Android,2409
53,2.8,iMars Technologies,Android Developer,156000,2,Bangalore,Full Time,Android,1879
54,4.7,GreedyGame,Android Developer - Intern,348000,2,Bangalore,Intern,Android,4191
55,4.1,In Time Tec,Android Developer,600000,2,Bangalore,Full Time,Android,7226
56,4.3,IndGlobal,Android Developer,300000,2,Bangalore,Full Time,Android,3613
57,4.1,CYBERNETYX Interaktiv,Android Developer,864000,2,Bangalore,Full Time,Android,10405
58,3.7,Karabi Software,Android Developer,120000,2,Bangalore,Full Time,Android,1445
59,4.3,Keyfalcon Solutions,Android Developer,400000,2,Bangalore,Full Time,Android,4817
60,3.9,ABCDEF,Android Developer,168000,2,Bangalore,Full Time,Android,2023
