id,total,to_distribute,n_elements,std_div_mod,len_votes,mean_dev

1, 35.0, 35, 608.0, 16.8842, 4, 0.0008
2, 35.0, 35, 613.0, 16.8843, 4, 0.0037
3, 35.0, 35, 610.0, 16.9936, 4, 0.0012
4, 35.0, 35, 612.0, 17.1007, 4, 0.0025
5, 33.0, 35, 607.0, 16.7777822, 4, 0.0019
6, 35.0, 35, 612.0, 16.9957, 4, 0.0016
7, 35.0, 35, 612.0, 16.9957, 4, 0.0008
8, 35.0, 35, 608.0, 16.7624, 4, 0.0025
9, 35.0, 35, 608.0, 16.7624, 4, 0.0033
10, 35.0, 35, 613.0, 16.9893, 4, 0.0014
11, 35.0, 35, 614.0, 17.1054, 4, 0.0029
12, 35.0, 35, 612.0, 16.7682, 4, 0.0041
13, 34.0, 35, 607.0, 16.6666722, 4, 0.0029
14, 35.0, 35, 611.0, 16.9846, 4, 0.0023
15, 35.0, 35, 611.0, 16.9846, 4, 0.0023
16, 35.0, 35, 605.0, 16.7667, 4, 0.0012
17, 34.0, 35, 607.0, 16.6666722, 4, 0.0035
18, 35.0, 35, 612.0, 16.8732, 4, 0.0025
19, 35.0, 35, 609.0, 16.878, 4, 0.0021
20, 35.0, 35, 605.0, 16.7667, 4, 0.0014
21, 35.0, 35, 608.0, 16.7624, 4, 0.0025
22, 35.0, 35, 613.0, 16.9893, 4, 0.002
23, 34.0, 35, 614.0, 17.0000042, 4, 0.0008
24, 35.0, 35, 611.0, 16.7746, 4, 0.0037
25, 35.0, 35, 604.0, 16.7727, 4, 0.0008
26, 35.0, 35, 615.0, 17.2194, 4, 0.003
27, 35.0, 35, 609.0, 16.7736, 4, 0.0029
28, 35.0, 35, 613.0, 17.0943, 4, 0.0018
29, 35.0, 35, 614.0, 16.9829, 4, 0.0016
30, 35.0, 35, 615.0, 16.9906, 4, 0.002
31, 34.0, 35, 616.0, 17.0000053, 4, 0.0016
32, 34.0, 35, 609.0, 16.6666712, 4, 0.0037
33, 33.0, 35, 605.0, 16.7777822, 4, 0.0006
34, 34.0, 35, 606.0, 16.7777832, 4, 0.0008
35, 35.0, 35, 612.0, 16.9957, 4, 0.0016
36, 35.0, 35, 610.0, 16.7674, 4, 0.0033
37, 35.0, 35, 608.0, 16.7624, 4, 0.0025
38, 33.0, 35, 613.0, 17.0000052, 4, 0.0006
39, 35.0, 35, 612.0, 16.9957, 4, 0.0025
40, 35.0, 35, 616.0, 17.1072, 4, 0.0008
41, 35.0, 35, 615.0, 17.0962, 4, 0.0022
42, 35.0, 35, 610.0, 16.8718, 4, 0.0025
43, 35.0, 35, 611.0, 16.8796, 4, 0.0029
44, 35.0, 35, 611.0, 16.9846, 4, 0.0023
45, 35.0, 35, 604.0, 16.7727, 4, 0.0008
46, 35.0, 35, 608.0, 16.8842, 4, 0.0016
47, 35.0, 35, 612.0, 16.9957, 4, 0.0025
48, 33.0, 35, 606.0, 16.7777832, 4, 0.0012
49, 35.0, 35, 608.0, 16.7624, 4, 0.0025
50, 35.0, 35, 608.0, 16.7624, 4, 0.0025
51, 35.0, 35, 608.0, 16.7624, 4, 0.0025
52, 35.0, 35, 614.0, 16.9829, 4, 0.0033
53, 34.0, 35, 607.0, 16.6666722, 4, 0.0029
54, 35.0, 35, 615.0, 16.9906, 4, 0.0037
55, 34.0, 35, 616.0, 17.0000053, 4, 0.0016
56, 35.0, 35, 611.0, 16.9846, 4, 0.0014
57, 34.0, 35, 615.0, 17.0000043, 4, 0.0012
58, 35.0, 35, 611.0, 16.9846, 4, 0.0014
59, 35.0, 35, 607.0, 16.772, 4, 0.0021
60, 34.0, 35, 610.0, 16.7777822, 4, 0.0029
61, 35.0, 35, 608.0, 16.7624, 4, 0.0025
62, 34.0, 35, 610.0, 16.7777822, 4, 0.0025
63, 35.0, 35, 614.0, 16.9829, 4, 0.0024
64, 35.0, 35, 612.0, 16.9957, 4, 0.0016
65, 35.0, 35, 613.0, 17.0943, 4, 0.0027
66, 35.0, 35, 604.0, 16.7727, 4, 0.0008
67, 35.0, 35, 612.0, 16.8732, 4, 0.0025
68, 32.0, 35, 600.0, 16.6666721, 4, 0.0
69, 35.0, 35, 609.0, 16.7736, 4, 0.0029
70, 35.0, 35, 613.0, 17.0943, 4, 0.0018
71, 35.0, 35, 610.0, 16.8718, 4, 0.0025
72, 35.0, 35, 615.0, 16.9906, 4, 0.002
73, 34.0, 35, 609.0, 16.7777832, 4, 0.0023
74, 35.0, 35, 614.0, 17.1054, 4, 0.002
75, 34.0, 35, 605.0, 16.6666722, 4, 0.0023
76, 34.0, 35, 611.0, 16.7777832, 4, 0.0029
77, 35.0, 35, 607.0, 16.772, 4, 0.0021
78, 35.0, 35, 608.0, 16.8842, 4, 0.0016
79, 34.0, 35, 609.0, 16.7777832, 4, 0.0023
80, 35.0, 35, 616.0, 17.1072, 4, 0.0016
81, 35.0, 35, 614.0, 17.1054, 4, 0.002
82, 34.0, 35, 611.0, 16.8888932, 4, 0.0012
83, 35.0, 35, 609.0, 16.878, 4, 0.0021
84, 35.0, 35, 615.0, 17.0962, 4, 0.0022
85, 34.0, 35, 604.0, 16.6666712, 4, 0.0017
86, 33.0, 35, 607.0, 16.7777822, 4, 0.0019
87, 35.0, 35, 610.0, 16.8718, 4, 0.002
88, 35.0, 35, 614.0, 17.1054, 4, 0.002
89, 35.0, 35, 610.0, 16.8718, 4, 0.0025
90, 33.0, 35, 613.0, 17.0000052, 4, 0.0006
91, 35.0, 35, 620.0, 17.2187, 4, 0.0008
92, 35.0, 35, 614.0, 17.1054, 4, 0.002
93, 35.0, 35, 606.0, 16.7607, 4, 0.0021
94, 35.0, 35, 608.0, 16.7624, 4, 0.0025
95, 35.0, 35, 607.0, 16.772, 4, 0.0021
96, 35.0, 35, 614.0, 16.9829, 4, 0.0024
97, 35.0, 35, 615.0, 16.9906, 4, 0.002
98, 35.0, 35, 606.0, 16.7607, 4, 0.0017
99, 35.0, 35, 610.0, 16.7674, 4, 0.0033
100, 35.0, 35, 613.0, 17.0943, 4, 0.0027
101, 35.0, 35, 608.0, 16.7624, 4, 0.0025
102, 33.0, 35, 606.0, 16.7777832, 4, 0.0012
103, 35.0, 35, 610.0, 16.8718, 4, 0.0025
104, 35.0, 35, 612.0, 16.8732, 4, 0.0033
105, 35.0, 35, 607.0, 16.8758, 4, 0.0014
106, 35.0, 35, 613.0, 17.0943, 4, 0.0018
107, 34.0, 35, 613.0, 16.8888932, 4, 0.0022
108, 35.0, 35, 608.0, 16.7624, 4, 0.0025
109, 35.0, 35, 609.0, 16.7736, 4, 0.0029
110, 33.0, 35, 614.0, 17.0000042, 4, 0.0012
111, 35.0, 35, 611.0, 16.7746, 4, 0.0037
112, 33.0, 35, 601.0, 16.6666721, 4, 0.0006
113, 34.0, 35, 611.0, 16.6666712, 4, 0.0045
114, 35.0, 35, 611.0, 16.8796, 4, 0.0029
115, 35.0, 35, 616.0, 17.1072, 4, 0.0008
116, 34.0, 35, 609.0, 16.7777832, 4, 0.0021
