id,total,to_distribute,n_elements,std_div_mod,n_votants
1,9.0,9,1082,98.5862,4

2, 10.0, 10, 2721, 228.8361, 5
3, 10.0, 10, 1868, 159.3404, 5
4, 10.0, 10, 3271, 269.8575, 5
5, 10.0, 10, 1919, 162.1555, 5
6, 10.0, 10, 2775, 219.78, 5
7, 10.0, 10, 3002, 268.0786, 5
8, 10.0, 10, 2731, 249.8865, 5
9, 10.0, 10, 2976, 239.568, 5
10, 10.0, 10, 3027, 259.7166, 5
11, 10.0, 10, 3040, 240.16, 5
12, 10.0, 10, 3263, 264.9556, 5
13, 10.0, 10, 2226, 188.9874, 5
14, 10.0, 10, 3004, 256.5416, 5
15, 10.0, 10, 1716, 145.5168, 5
16, 10.0, 10, 2609, 198.284, 5
17, 10.0, 10, 2353, 178.5927, 5
18, 10.0, 10, 1990, 162.583, 5
19, 10.0, 10, 2372, 201.8572, 5
20, 10.0, 10, 1890, 174.447, 5
21, 10.0, 10, 1914, 158.862, 5
22, 10.0, 10, 2731, 235.4122, 5
23, 10.0, 10, 2298, 190.9638, 5
24, 10.0, 10, 2054, 168.8388, 5
25, 10.0, 10, 2082, 166.3518, 5
26, 10.0, 10, 1972, 158.5488, 5
27, 10.0, 10, 2518, 225.1092, 5
28, 10.0, 10, 1675, 137.35, 5
29, 10.0, 10, 2512, 225.8288, 5
30, 10.0, 10, 3141, 271.3824, 5
31, 10.0, 10, 2531, 207.2889, 5
32, 10.0, 10, 1839, 148.5912, 5
33, 10.0, 10, 1480, 135.42, 5
34, 10.0, 10, 2187, 175.3974, 5
35, 10.0, 10, 3188, 255.9964, 5
36, 10.0, 10, 3933, 316.9998, 5
37, 10.0, 10, 3126, 256.332, 5
38, 10.0, 10, 2062, 173.8266, 5
39, 10.0, 10, 2066, 172.3044, 5
40, 10.0, 10, 3332, 264.2276, 5
41, 10.0, 10, 2051, 171.6687, 5
42, 10.0, 10, 1935, 149.5755, 5
43, 10.0, 10, 2979, 236.8305, 5
44, 10.0, 10, 2733, 223.5594, 5
45, 10.0, 10, 2607, 210.3849, 5
46, 10.0, 10, 2571, 228.5619, 5
47, 10.0, 10, 2352, 206.7408, 5
48, 10.0, 10, 2367, 195.5142, 5
49, 10.0, 10, 2115, 182.1015, 5
50, 10.0, 10, 2386, 206.1504, 5
51, 10.0, 10, 2907, 247.3857, 5
52, 10.0, 10, 1901, 168.9989, 5
53, 10.0, 10, 2434, 203.9692, 5
54, 10.0, 10, 1333, 113.1717, 5
55, 10.0, 10, 1999, 174.3128, 5
56, 10.0, 10, 1495, 136.942, 5
57, 10.0, 10, 1447, 113.4448, 5
58, 10.0, 10, 3357, 270.5742, 5
59, 10.0, 10, 2366, 214.123, 5
60, 10.0, 10, 2481, 212.6217, 5
61, 10.0, 10, 3684, 300.9828, 5
62, 10.0, 10, 2654, 232.4904, 5
63, 10.0, 10, 1366, 112.9682, 5
64, 10.0, 10, 1894, 163.831, 5
65, 10.0, 10, 2575, 231.75, 5
66, 10.0, 10, 2660, 214.662, 5
67, 10.0, 10, 1655, 135.2135, 5
68, 10.0, 10, 1600, 142.88, 5
69, 10.0, 10, 2704, 221.1872, 5
